Short description,Description,Full_Description,Assignment group,New_Assignment_Group
user name for fabxjimdghtyo depfugcy,                                               vpn                                                         ,user name for fabxjimdghtyo depfugcy   user name for fabxjimdghtyo depfugcy,GRP_0,0
vip     printer hr     not print pdf document,      receive      help desk      follow issue face try login sid     erp uacyltoe hxgaycze     please go screen shoot     needful            since used system long back would like request password reset    please needful early     ,vip     printer hr     not print pdf document   printer hr     not print pdf document    connect to the user system use teamviewer    delete the printer and readde the printer    able to print word doc not able to print pdf doc    user have be have this issue again    user need a local -PRON- take a look aerp   computer name   lhol          contact  ,GRP_3,23
password reset,job name job        fail job scheduler,password reset name mfeyouli ndobtzpw language   browser microsoft internet explorer email mfeyouli ndobtzpw gmail com customer number   telephone   summary please reset windows password and erp password for laffekr,GRP_0,0
vendor need to save file to -PRON- local pc,   mii password reset     unlock account,vendor need to save file to -PRON- local pc   hi      please reference inc           i have another vendor    vvnookr    involve in the usa carve out project that need to save file to -PRON- local pc   can -PRON- add vvnookr to the exception group    nicrhty edmhihryu will approve if necessary       ,GRP_12,4
erp runtime error      this be what i m eventually see,receive      job job       fail job scheduler                     ,erp runtime error      this be what i m eventually see      receive     good afternoon      i m have some difficulty look up some top notch drawing    i keep get this   time out   error screen come up    i m look these drawing up under the cv   n page    i be direct to do the follow to see these top notch drawing    i m not sure if -PRON- s a permission problem or an erp problem    any way -PRON- all could shed some light on this              here s what i get when i try to look up those drawing              ,GRP_0,0
ticket update for inplant       ,receive      job sid     filesys fail job scheduler                     ,ticket update for inplant         ticket update for inplant       ,GRP_0,0
snagit,pay vendor                aug              clear vendor code    f        erp show    open item find item code    fbl n   ,snagit    receive from   lucgnhda carthy company com   do company have a corporate license for snagit editor          qmglkaru qiwhfkdv manager business system   lucgnhda carthy company com   crm news   -PRON- s here   with the final release of the fy    dynamic crm project   the microsoft dynamics crm mobile app be now available for download for all crm users   the app can be instal on any ios   android or window phone or tablet   include the dell    in    window      tablet laptop   for more detail on the app   watch the launch video    nee help with -PRON- dynamic crm   click here    chat with a live agent about -PRON- dynamic crm now   click here      ,GRP_0,0
unable to open outlook,name callie pollaurid language    browser microsoft internet explorer email xzupryaf vlbikhsm gmail com customer number    telephone       summary outlook skype work home    work office,unable to open outlook name oikhfqyl gcknzthb language   browser microsoft internet explorer email oikhfqyl gcknzthb gmail com customer number   telephone   summary can not get onto outlook    just get the blue screen with the dot move at the bottom    try cold boot thrgxqsuojr xwbesorfs,GRP_0,0
user harrfgyibs lock out of erp mii system,skype                                     ,user harrfgyibs lock out of erp mii system   user harrfgyibs lock out of erp mii system   help the user login after unlock the user account    issue resolve,GRP_0,0
job job       fail in job scheduler at                       ,system respond,job job       fail in job scheduler at                         receive     job job       fail in job scheduler at                     ,GRP_9,48
telecom vendor     dongle,      receive      hello       put ticket behalf nzuofeam exszgtwd whose notebook can not boot due hardware failure       please assist immediately  ,telecom vendor     dongle help to configure the   dongle on new laptop,GRP_19,11
-PRON- d    printer,multiple display work,-PRON- d    printer printer setup,GRP_19,11
-PRON- d     printer issue,erp account unlock,-PRON- d     printer issue -PRON- d    printer not work,GRP_19,11
user want this messgage recall aerp   urgent,tablet booting,user want this messgage recall aerp   urgent user want this messgage recall aerp   urgent,GRP_26,19
erp response time be very long    even for simple transaction    please check    plant vsid     be report,name etlfrucw ziewxqof language    browser microsoft internet explorer email etlfrucw ziewxqof gmail com customer number    telephone       summary log permission work     nee change password also     please call ic    welcome    next available agent shortly       interaction alert agent     website visitor join conversation rakthyesh ramdntythanjesh    hi dartvis  ,erp response time be very long    even for simple transaction    please check    plant vsid     be report   erp response time be very long    even for simple transaction    please check    plant vsid     be report,GRP_0,0
circuit outage   apac company secondary vpn circuit be down since        pm on        et site be up on primary mpls,                                                                       ,circuit outage   apac company secondary vpn circuit be down since        pm on        et site be up on primary mpls what type of outage         network        x    circuit           power   please specify what type of outage         top     cert site           yes    slo         yes no na          when do -PRON- start                   pm on        et                         schedule maintenance    power        na          yes no na       company power                 provider power                                   schedule maintenance    network          na        yes no na       company maint           yes no         provider maint ticket                                do site have a backup circuit       yes          yes no na          backup circuit active          yes           yes no na          site contact notify   phone email          na            yes no na          remote dial in             na         yes no na          equipment reset             na           yes no na           verify site work on backup circuit        yes           yes no na           vendor ticket       global telecom     verizon   telecom vendor     telecom vendor              na                                    notify   gsc     na             yes no na      cert start                 yes no na            additional diagnostic,GRP_8,47
ticket update on ticket no       ,        outlook     ppt                                        ,ticket update on ticket no         ticket update on ticket no       ,GRP_0,0
outlook constantly freeze up,type outage       x     network            circuit            power    please specify type outage          top      cert site                        yes na           start                     pm et                                 schedule maintenance     power                 yes na        company power                  provider power                                    schedule maintenance     network                 yes na        company maint            yes          provider maint ticket                                 site backup circuit                yes na           backup circuit active           na            yes na           site contact notify    phone email                     yes na           remote dial            na            yes na           equipment reset                       yes na            verify site work backup circuit         na            yes na            vendor ticket        global telecom      verizon    telecom vendor      telecom vendor                                                  notify    gsc                  yes na       cert start                  yes na             additional diagnostic,outlook constantly freeze up   contact           if need    no error message,GRP_0,0
unable to update password on password management tool,type outage          network          x    circuit            power    please specify type outage          top      cert site              yes             yes na           start            pm et                                  schedule maintenance     power                 yes na        company power                  provider power                                    schedule maintenance     network                 yes na        company maint            yes          provider maint ticket                                 site backup circuit        yes           yes na           backup circuit active           yes            yes na           site contact notify    phone email           yes             yes na           remote dial                      yes na           equipment reset                        yes na            verify site work backup circuit          yes           yes na            vendor ticket        global telecom      verizon    telecom vendor      telecom vendor                                                  notify    gsc                  yes na       cert start                  yes na             additional diagnostic,unable to update password on password management tool unable to update password on password management tool,GRP_0,0
mapping network drive,login mii issue,mapping network drive mapping network drive,GRP_0,0
cad pc for main training room,      receive      receive replacement company supply phone    set need give access email    contact calendar     right place make request please let know   ,cad pc for main training room      receive     please configure and install a cad machine under the av cabinet in the new training room   the machine need the standard cad configuration   please also install a wireless mouse   keybankrd   and   d cad manipulator    the machine will need to be setup for multiple user to sign on with -PRON- credential   per the request of ehs -PRON- will also need a dvd drive to play safety training video   ,GRP_3,23
send from snip tool,    receive    ytqhfmwi itnakpmc gmail com    expense report submit manager    save    please submit    happen expense report         michjnfyele l    jenhntyns plant manager ytqhfmwi itnakpmc gmail com mailto ytqhfmwi itnakpmc gmail com     ,send from snip tool      receive     unable to convert a plan order for this item   also unable to create a production order for this item   receive this error message both time       ,GRP_45,36
drive   be not respond to mount request for library    ,         wg    br report     juni und juli zahlen f    r zeitkonten und urlaubsst    nde fehlen      hi simfghon       kindly note multiple folder     eagcldaten team br report       please mention specific folder access give     ,drive   be not respond to mount request for library      drive   be not respond to mount request for library    ,GRP_8,47
can not log into skype,password reset xhaomnjl ctusaqpr,can not log into skype      receive     i can not log into skype    -PRON- be say -PRON- credential be bad     ,GRP_0,0
vm lhqsm       take excessive length of time to release backup snapshot,password reset request,vm lhqsm       take excessive length of time to release backup snapshot   the backup tool backup for lhqsm       be take over     hour to release the snapshot at the end of the backup    can -PRON- look at this vm and advise if there be a problem with lhqsm      ,GRP_12,4
ticket update on inc        ,ticket update inplant       ,ticket update on inc          ticket update on inc        ,GRP_0,0
password reset for erp sid     account,add note account mobile     want able demonstrate meeting tomorrow error block ability add note,password reset for erp sid     account password reset for erp sid     account,GRP_0,0
quantum oracle database connection be not work,reversed intercompany shipment intercompany inwarehouse tool reverse    run bill document table see reversal either      see attach email,quantum oracle database connection be not work hostname       and hostname       databases listener be not function when ever -PRON- try to uacyltoe hxgaycze the connection -PRON- doesn t connect this be affection production    production be not down this be just make the user enter datum manually    the database be   quantum   and   glog       ip address    hostname                      proglovia                    here be the ip address for the cisco ucs manager console                 i ve try every set of credential that i have access    do anyone change the credential     hostname       and hostname       have be restart as request    please check the database listener for databasesliste below     quantum   glog    glog old,GRP_1,1
can t create a delivery note for a sto               from plant      to plant    ,login script pop query,can t create a delivery note for a sto               from plant      to plant      -PRON- can t create a delivery note for a sto               from plant      to plant      for all    item    all item in that sto be available in stock in plant       but the system do not see -PRON-    please check and generate a delivery note    -PRON- be quite urgent as the drum           need to be send further to apac for the exposition in apac   ,GRP_6,42
vpn access,ticket update inplant       ,vpn access      receive     i be unable to access some network folder when connect to vpn      ,GRP_0,0
node germany pbx trunk card locate at germany be down at       pm et on       ,receive      job job        fail job scheduler                     ,node germany pbx trunk card locate at germany be down at       pm et on         node germany pbx trunk card locate at germany be down at       pm et on       ,GRP_37,29
need access to znqcljxt azvoespk s collaboration platform,vip     printer setup,need access to znqcljxt azvoespk s collaboration platform contact   ,GRP_16,8
npc               plant not select,outlook connected server     query connect external monitor,npc               plant not select   i be notify by kuznvase jrxtbuqz that this npc be have an issue   apparently   the plant be not select during the execution of the task   please investigate and talk to thilo for -PRON- specific  ,GRP_11,3
-PRON- sid     crm have problem please help to fix -PRON- aerp   thank,name kaguhxwo uoyipxqg language    browser microsoft internet explorer email kaguhxwo uoyipxqg gmail com customer number    telephone       summary printer new driver update need,-PRON- sid     crm have problem please help to fix -PRON- aerp   thank       receive     dear -PRON- helper      please see below message   when i be try to process on this complaint              -PRON- didn t allow -PRON- to change anything   -PRON- say this crm be be process by user sundj   and i be sundj   would -PRON- please help -PRON- to fix -PRON-   i have reboot -PRON- computer   but this message be still there                ,GRP_15,7
problem with crm,    receive    nabjpdhy bjuqwidt gmail com    hello    change password try log onto engineering tool say many fail attempt    see attach screenshot     stefyty hunt prototype tech    product engineer    nabjpdhy bjuqwidt gmail com mailto nabjpdhy bjuqwidt gmail com      ,problem with crm    receive from   vkzwafuh tcjnuswg gmail com   hi   when i sign into crm i get and error message   the reporting engineering tool didn t load   see below       vkzwafuh tcjnuswg    cmp sr   application eng   vkzwafuh tcjnuswg gmail com,GRP_0,0
error when try to access sid    quality system in erp,please complete required question        return back gsc     requester provide required information            gsc review ticket    able resolve please assign appropriate group per printer problem assignment flowchart               printer name     make     model      printer     even local                 detailed description problem      window need download install software driver     hostname       computer print cl        message printer               type document print      email       excel       word     etc             inwarehouse tool       delivery note       production order     etc     document print source              system application use time problem        outlook    excel    erp              print    respond ping command network power cycle printer complete     shutdown computer printer     error message               erp system    system       ex sid        sid        hrp     plm                     erp printer problem erp output reroute another erp printer temporarily              printer reroute                document print correctly    please scan copy document attach ticket tool ticket,error when try to access sid    quality system in erp   error when try to access sid    quality system in erp,GRP_0,0
u drive access,office       activation corporate phone,u drive access hello   for the next one month i will be in bedord   usa   i request to provide access to u drive     ldbsm     engineering application    since -PRON- take up too much time to open nx document from engineer tool with the current u drive path     hostname     engineering application    kindly process aerp  ,GRP_12,4
lizenz,request reset microsoft online services password pvtiqgsh orlzgfsx gmail com,lizenz   let s talk   video kann nicht ge   ffnet werden,GRP_0,0
usa nc server hostname       be not respond   no access,delete print job prtqc    ,usa nc server hostname       be not respond   no access usa nc server hostname       be not respond   no access,GRP_12,4
employee own mobility agreement,name mikhghytr    language    browser microsoft internet explorer email vcyktjxp uxdojvrq gmail com customer number    telephone       summary change password can not sign skype,employee own mobility agreement      receive     hello help team    attach -PRON- will find the agreement   what do i need to do next to get e mail push   calendar synchronization etc       mit freundlichem gru      well,GRP_0,0
sync hr org detail to purchase,eror message refresh bex analysis    error atache     phone     ,sync hr org detail to purchase sync hr org detail to purchase for dhmfuvgw jralkfcb   hufghygh     -PRON- be get the follow error    no data find for employee                inform system administration,GRP_29,22
duplicate machine display in machine list,      receive      hi       approve     ,duplicate machine display in machine list when a work center be change on a machine in erp pm the machine with the old and new work center appear in the machine list in mii,GRP_41,33
skype audio not work,ticket update inplant       ,skype audio not work      receive     kind attn      kindly resolve subject issue at the early      well,GRP_0,0
drucker ng    funktioniert nicht mehr   hardware problem    dringend ben   tigt f   r auftragspapiere und bestellungen,      receive      hello     need request     week temporary access f      erp sid      correct duplicate payment erp  ,drucker ng    funktioniert nicht mehr   hardware problem    dringend ben   tigt f   r auftragspapiere und bestellungen please complete all require question below      if not   -PRON- will be return back to the gsc    requester to provide required information           gsc to review ticket   if not able to resolve then please assign to appropriate group per -PRON- printer problem assignment flowchart              printer name    make    model     ex hq        wy      hp         hp laserjet                  detailed description of the problem    papi staut sich   es kommt kein ausdruck raus             type of document not print     email      excel      word    etc   erp          inwarehouse tool      delivery note      production order    etc              what system or application be use at time of the problem         ex windows    erp   kls              if not print at all   do -PRON- respond to a ping command on the network and have a power cycle of the printer be complete              if erp system   which system      ex sid       sid       hrp    plm   sid                   if -PRON- s an erp printer problem can the erp output be reroute to another erp printer temporarily             what printer can -PRON- be reroute too               if document be not print correctly   please scan copy of the document and attach to the ticket tool ticket,GRP_33,26
problem in engineering tool,problem erp update order get pick warehouse tool,problem in engineering tool      receive     hallo      ich habe ein problem beim    bertragen eine berirtcht in das engineering tool system      siehe das gelbe feld unten    schon mehrere male habe ich die felder ausgef   llt und gespeichert      wenn ich den berirtcht in das system    bertagen m   chte   gibt es eine fehlermeldung      siehe anhang              mit freundlichen gr     en    with good,GRP_25,18
blank call,ticket update inplant       ,blank call blank call from germany    interaction -PRON- d             ,GRP_0,0
  md extenral monitor will not stay one   -PRON- flash briefly then go out,outlook launch      connect user system use teamviewer      reconfigure mscrm      caller confirm able see email outlook      issue resolve,  md extenral monitor will not stay one   -PRON- flash briefly then go out    md extenral monitor will not stay one   -PRON- flash briefly then go out,GRP_3,23
travel expense in erp,ticket update regard ticket          tqvpohwj tbkywpqz,travel expense in erp    receive from   uyrpdvoq mbzevtcx gmail com   hi   i get this information when i want to do -PRON- travel expense   zero amount       but i enter the number as below              uyrpdvoq mbzevtcx sales manager earthworks european served area      north   uyrpdvoq mbzevtcx gmail com mailto uyrpdvoq mbzevtcx gmail com   company infrastructure gmbh gesch   ftsf   hrer   phvkowml azbtkqwx und naruedlk mpvhakdq   www company com    ,GRP_10,2
telephony software interaction desktop fail to connect,nee map add network printer,telephony software interaction desktop fail to connect this seem to have start after window update kb         get instal on user s pc    please find screenshot in the attach email,GRP_65,45
please check the ale in detail   -PRON- have ongoing issue with send datum from hrp to sid     and sid       assign to sreedhar,jerghjemiah brock    windows password expire soon    need assistance reset password  ,please check the ale in detail   -PRON- have ongoing issue with send datum from hrp to sid     and sid       assign to sreedhar please have a close look on the ale interface in production environment   i do work through some request about expense reporting issue and i find out   that many change in hrp do not move to sid     via ale   even when the datum be fine on hr side   for example the change in -PRON- around stefyty and tom be not reflect in sid      -PRON- look like the majority of change since at least    or    month be not sync   i m not sure   if nothing go over   some do   but could be because of manual run of ale by the hris team,GRP_20,13
drucker hp laserjet        mp      defekt,unable send email hrscc team external email address,drucker hp laserjet        mp      defekt hp drucker cp      defekt   wurde bereits ausgetauscht   hp laserjet     ,GRP_33,26
rechner f   r messvorrichtung steli funktioniert nicht   jionmpsf wnkpzcmv,unable launch erp    logon balance error,rechner f   r messvorrichtung steli funktioniert nicht   jionmpsf wnkpzcmv rechner f   r messvorrichtung steli funktioniert nicht   jionmpsf wnkpzcmv,GRP_24,17
barcode scanner defekt   paternoster   bur am orde,ticket update ticket       ,barcode scanner defekt   paternoster   bur am orde barcode scanner defekt   paternoster   bur am orde,GRP_24,17
usb verl   ngerungskabel liefern    hxwtidja ixahzmvf,   ugyothfz ugrmkdhx    send    tuesday    august                 pm    zkevitua nesbfirjeerabhadrappa    zkevitua nesbfirj gmail com    cc    hnynhsth jsuyhwssad    bxspwfyo vzystwor gmail com      rjtnlocs fclswxkz    tanrgty     hello aghynil     request assistance identify source user process deletion terminate user    subject     let know need sn ticket create  ,usb verl   ngerungskabel liefern    hxwtidja ixahzmvf usb verl   ngerungskabel liefern    hxwtidja ixahzmvf,GRP_24,17
rechner nach update startet nicht   ewew          cudgevmx waqslrbd,hostname          volume consume c     disk     ,rechner nach update startet nicht   ewew          cudgevmx waqslrbd rechner nach update startet nicht   ewew          cudgevmx waqslrbd,GRP_24,17
iehs metrics input    unable to scroll   urgent please,email delegation,iehs metrics input    unable to scroll   urgent please       received     good day      please can -PRON- advise how i can scroll down this screen       i have to minimize -PRON- in order to view all -PRON- entry   not sure what i be do wrong    please help               well,GRP_34,27
kein rechnungseingang beim kunden per e mail,        summary unable log skype password change yesterday,kein rechnungseingang beim kunden per e mail   kunde             cc      erh   lt unsere rechnungen per e mail    rechnungsempf   nger             cc        empfangende e mail adresse rechnungseingang sew eurodrive de bis zum           hat der kunde problemlos die rechnungen erhalten   ab dem           nicht mehr   dem kunden liegen die rechnungen somit nicht vor und werden deshalb auch nicht bezahlt   ich kann keine    nderung feststellen   und bitte deshalb um kl   rung   danke         translation      customer             cc      receive -PRON- inwarehouse tool by email    inwarehouse tool recipient               cc        receive email address rechnungseingang sew eurodrive de until           the customer easily get the bill   from           not   the customer therefore not be before the bill and be therefore not pay   i can not detect any change and therefore ask for clarification  ,GRP_13,5
-PRON- ve be inform that company malaysia office face the problem of internet access   please help check and confirm,outlook issue,-PRON- ve be inform that company malaysia office face the problem of internet access   please help check and confirm do the needful on below e mail request     ,GRP_4,31
open ticket    g   nter steinh   u   er,konto scghhnell reaktivieren    laptop ewel       ,open ticket    g   nter steinh   u   er       receive     need support for one of -PRON- team member      g   ter steinh   usser   location germany      -PRON- already open already more ticket to get -PRON- skype up to speed      but -PRON- mention that be not solve out after two month    g   nter have to participate on important hr call      so -PRON- should be able to work with -PRON- common communication technology      please support and follow up with g   nter directly      german language be necessary     ,GRP_26,19
fix asset addition list,      receive        mhtyike szumyhtulas receive attach email     employee report    please advise receive   ,fix asset addition list addition be not match to trial balance and or   to settlement list   difference be mainly cwip of the last year settle in the current year,GRP_10,2
-PRON- powerpoint application crash everytime after start a file    impossible to work,need configure printer,-PRON- powerpoint application crash everytime after start a file    impossible to work -PRON- powerpoint application crash everytime after start a file    impossible to work     need to work on a customer proposal and on internal presentation     no matheywter what pptx file i open the application crash immediateley and   i need to restart the computer         -PRON- be absolutely impossible to work with powerpoint on -PRON- laptop at present     i be in transit home from businesstrip    -PRON- can reach -PRON- as of        german time,GRP_19,11
netweaver business client    ,wifi guest account,netweaver business client          receive     hello colleague       need -PRON- help    today i will start    -PRON-   netweaver business client       for start a   er   but unfortunately the   netweaver business client       be not work   ,GRP_0,0
probleme mit laser,erp sid      password reset do    confirm user,probleme mit laser der pc   ganz alter pc   be halbautomaten schaltet sich anscheinend wg   hitze ab    l   fter vom netzteil dreht nicht      ,GRP_24,17
need help in add user in au account receivable company com,receive      job job       b fail job scheduler                     ,need help in add user in au account receivable company com need help in add user in au account receivable company com,GRP_0,0
unable to create delivery,need setup exchange corporate iphone,unable to create delivery please provide the follow      what order number                  what material or item number              what warehouse location   from plant      to plant         issue description    error message   no sto possible with these combination,GRP_29,22
fc f   r department skv alicona,inc            ticket update,fc f   r department skv alicona hallo marfhtyio   mit dem freischalten von srgtycha geht klar   w   rdest du bitte den hr   bxgwyamr hjbukvcq personalnr            und den hr   wjzvabrl bmcfrlyz personalnr            ebenfall freischalten   danke -PRON- be voraus     mfg   reinhard   von   yevirgnl ylhogjct   gesendet   mittwoch      september             an   ypladjeu wzfryxav cc   hqyfebtd pkmyrdga betreff   wg   zugriffsrechte   hallo reinhard    ich bitte um ein approval   ok   f   r den zugriff    gruss marfhtyio   mit freundlichen gr   ssen    well,GRP_12,4
issue with the difference amount in the po approval report    zpsr      and also kindly remove the programdnty    zpsu    ,unable launch engineering tool,issue with the difference amount in the po approval report    zpsr      and also kindly remove the programdnty    zpsu      issue with the difference amount in the po approval report    zpsr      and also kindly remove the programdnty    zpsu      as this be no long use,GRP_20,13
fc auf departments   scan -PRON-  ,imagen n    alteramdnty quando solicitadas dificultando assim cota      de ferramdntyentas especiais,fc auf departments   scan -PRON-    guten morgen      bitte die schreib    leseberechtigung   f   r ordner m   scan -PRON-    einrichten      danke            freundliche gr     e    kind,GRP_12,4
unable to sign in to skype,qohfjpna exphkim    palghjmal     able run softland client citrix    show error loading application     please see attach error    uacyltoe hxgayczeed pc get problem,unable to sign in to skype confirm email address be type into the userid field   as system be away from the phone call back on mobile    pavan confirm issue be resolve,GRP_0,0
msd crm still no synchronize with erp,install shop floor app machine,msd crm still no synchronize with erp still no synchronize with erp after repair to zip code see   ticket no             still show an error see attach file   the zip code be now correct      for all user company in israel,GRP_40,32
question on how to login to impact award,outlook cache email query,question on how to login to impact award to login to impact award  ,GRP_0,0
account unlock    lichtyuiwu,cphlme    ,account unlock    lichtyuiwu   markhty leibdrty call to have the account unlocked   unlock   confirm -PRON- be able to login,GRP_34,27
no erp and netweaver enterence please help aerp  ,    receive    rubiargty fatgrtyma company com    hello cathytyma     update position title per request    regard access please provide copy access person name    ,no erp and netweaver enterence please help aerp        receive     colleague   i can t enter to this programdntys   i need -PRON- immediately   please help aerp      please see below                  well,GRP_0,0
ferbfhyunam be not able to connect with telephony software interaction desktop,      receive      hello      still wait problem resolve    please advise approval still need    access     ,ferbfhyunam be not able to connect with telephony software interaction desktop error message    unable to log on for the follow reason     byte read from network stream   user   ferbfhyunam workstation   ekmw         see attach picture,GRP_33,26
erp net weaver do not work   error message   microsoft   net framdntyework      be not instal,presentation post drive week appear approval page     tomashtgd mchectg like use approval page navigate around presentation    sure notice work correctly       see attach file detail urls,erp net weaver do not work   error message   microsoft   net framdntyework      be not instal   erp net weaver do not work   error message   microsoft   net framdntyework      be not instal,GRP_0,0
business client    log on error   ,lauacyltoe hxgaycze salary statement               continue get paycheck    unable see salary statement erp     go hub     ,business client    log on error     business client logon be not work and throw error     seem issue with -PRON- laptop and logon be work fine when try in other system    ,GRP_19,11
power outage   south amerirtca   site hard down since at        am et on         no backup circuit,    receive    uyrpdvoq mbzevtcx gmail com    could please reset password      uyrpdvoq mbzevtcx sales manager earthworks european served area       north    uyrpdvoq mbzevtcx gmail com mailto uyrpdvoq mbzevtcx gmail com      company infrastructure gmbh gesch    ftsf    hrer    phvkowml azbtkqwx und naruedlk mpvhakdq    www company com    ,power outage   south amerirtca   site hard down since at        am et on         no backup circuit   what type of outage      x    network           circuit           power   please specify what type of outage         top     cert site            yes             yes no na          when do -PRON- start                     am et on                            scheduled maintenance    power         no         yes no na       company power                 provider power                                   schedule maintenance    network         no         yes no na       company maint           yes no         provider maint ticket                                do site have a backup circuit       no          yes no na          backup circuit active         na            yes no na          site contact notify   phone email                     yes no na          remote dial in           na           yes no na          equipment reset           na             yes no na           verify site work on backup circuit      na             yes no na           vendor ticket       global telecom     verizon   telecom vendor     telecom vendor                  global telecom                                              notify   gsc      yes            yes no na      cert start                 yes no na            additional diagnostic,GRP_8,47
skype be not work,ess access user ghaltiek lsuepvyx    please find error message attach     phone      ,skype be not work   skype be not work,GRP_0,0
-PRON- need for all participant an access for the guest   wifi system in house    see the attach excel spread sheet        ,user -PRON- d dalgtylam place quarantine      see                company european asa company com     device generate high volume    repeat outbound connection       tcp    alert traffic    block    edml                       port       tcp    remote procedure call    rpc     external host                 may indicate misconfiguration    firewall block traffic legitimate server application    may also indicate compromise host reach malicious host propagate worm code    escalate incident via medium priority ticket email per default event handle procedure    would like -PRON- handle incident differently future    see handle option     question concern    please let -pron- know either correspond -PRON- via ticket delegate ticket back soc    call -PRON-           full escalation window login failure alert    explicit notification via high priority ticket phone call       automatically resolve window login failure alert directly portal    explicit notification event available report purpose portal,-PRON- need for all participant an access for the guest   wifi system in house    see the attach excel spread sheet               rakthyesh wg   cost center   importance   high     hello       -PRON- need for all participant an access for the guest   wifi system in house    see the attach excel spread sheet            sept           time for access     day     location   company f   rth germany   room      event    technical training metal cut       the different name -PRON- will find in the attach excel list     ,GRP_0,0
action require   please connect to the new vpn url before january   ,erp training query,action require   please connect to the new vpn url before january     from   vivbhuek kanjdye   send   thursday   september                be to   nwfodmhc exurcwkm    re   action require   please connect to the new vpn url before january      hi -PRON- be get follow message   system warning    clear system warning        no javascript be instal   warning   for full functionality   enable javascript in -PRON- browser   otherwise   some feature   especially those relate to web application in new window   may not work correctly      cache cleaner be fail   warn   popup blocker can cause the cache cleaner to fail   if -PRON- use a popup blocker   -PRON- may see outdated page and form   for good functionality   disable -PRON- popup blocker      policy restriction   access to network access resource company vpn have be deny by the policy engine   the reason be        no anti virus or anti virus be not trust    ,GRP_0,0
cplant       depreciation   issue,    receive    zywoxerf paqxtrfk gmail com    dear help desk    office      always give blank page    see screen shoot    please help        x     jdamieul    fandyhgg    phd    us senior staff engineer zywoxerf paqxtrfk gmail com mailto zywoxerf paqxtrfk gmail com  ,cplant       depreciation   issue    receive from   bujiesrg zopcrshl gmail com   dear     i find a gap between fs   n report and asset balance report   s alr            in         for cplant       cost center    -PRON- only add two rrc asset in jul   so the depreciation should be           rmb                               increase in aug   but when i run fs   n find the depreciation only add          rmb                                 can -PRON- give -PRON- some idea about this,GRP_10,2
hsh,user zhengdr place palo virus quarantine      incident overview                               see                att apac asa company com     device generate high volume    repeat outbound connection       tcp    alert traffic    block    aenl                         port       tcp    remote procedure call    rpc     external host                   may indicate misconfiguration    firewall block traffic legitimate server application    may also indicate compromise host reach malicious host propagate worm code       escalate incident via medium priority ticket email per default event handle procedure     would like -PRON- handle incident differently future    see handle option     question concern    please let -pron- know either correspond -PRON- via ticket delegate ticket back soc    call -PRON-               full escalation window login failure alert    explicit notification via high priority ticket phone call        automatically resolve window login failure alert directly portal    explicit notification event available report purpose portal,hsh    receive from   aksthyuhath shettythruy company com   hi    mr   hatryupsfshytd user -PRON- d lock   please reset the password and send the new password to -PRON- manager mr   panghyiraj shthuihog   ebkfwhgt flapokym gmail com     emp no   name   useid   manager              aqihfoly xsrkthvf   hsh   panghyiraj shthuihog     fyi       with,GRP_0,0
                                             ,printer configuration,                                                   receive     hello alex                                        well,GRP_29,22
can not login in erp sid    for uacyltoe hxgayczeing,receive      job job        fail job scheduler                     ,can not login in erp sid    for uacyltoe hxgayczeing attach the screen shoot for the error information,GRP_0,0
circuit   outage   primary circuit company eu deu koenigsee mpls       rtr    company com be down since       pm et,logon error erp sid  ,circuit   outage   primary circuit company eu deu koenigsee mpls       rtr    company com be down since       pm et what type of outage         network         x   circuit           power   please specify what type of outage         top     cert site            no             yes no na          when do -PRON- start                   pm et on                            schedule maintenance    power        no          yes no na       company power                 provider power                                   schedule maintenance    network        no          yes no na       company maint           yes no         provider maint ticket                                do site have a backup circuit        yes         yes no na          backup circuit active        yes             yes no na          site contact notify   phone email                     yes no na          remote dial in                     yes no na          equipment reset                       yes no na           verify site work on backup circuit                  yes no na           vendor ticket       global telecom     verizon   telecom vendor     telecom vendor                                                 notify   gsc                 yes no na      cert start                 yes no na            additional diagnostic,GRP_8,47
node down    on    lhqsm      ,type outage          network        x      circuit            power    please specify type outage          top      cert site                        yes na           start                   et                               schedule maintenance     power                  yes na        company power                  provider power                                    schedule maintenance     network                  yes na        company maint            yes          provider maint ticket                                 site backup circuit        yes           yes na           backup circuit active         yes              yes na           site contact notify    phone email                      yes na           remote dial                      yes na           equipment reset                        yes na            verify site work backup circuit                   yes na            vendor ticket        global telecom      verizon    telecom vendor      telecom vendor                                                  notify    gsc                  yes na       cert start                  yes na             additional diagnostic,node down    on    lhqsm        node down    on    lhqsm      ,GRP_8,47
erp access,receive      job sid      uacyltoe hxgaycze failed job scheduler                     ,erp access     receive from   idkfgcnq vjwhmzor gmail com   good afternoon    can -PRON- please unlock -PRON- username for erp   i have be lock for too many log in attempt    vyjmlain hvjbmdgi senior technical service rep inside sale company com mailto inside sale company com      ,GRP_0,0
-PRON- request,      receive      please add user vvkatts ticket tool erp finance group       let know question       ,-PRON- request      receive     hello    -PRON- supervisor   ybuvlkjq nwcobvpl   have ask -PRON- to send an -PRON- request    i be able access document in some folder on -PRON- h drive   but not all    i would like permission to access document that be locate in the quality control folder locate at h   quality control   ,GRP_0,0
